	Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
164	165	Fam178a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000036097	ENSMUST00000236356|ENSMUST00000236895|ENSMUST00000096053	NM_001081225|NM_172638	SLF2		UP, ttest: 3.079689987529651e-05
165	166	Cdc37l1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024780	ENSMUST00000050148|ENSMUST00000225598|ENSMUST00000223694|ENSMUST00000224511|ENSMUST00000225310|ENSMUST00000225210|ENSMUST00000224599|ENSMUST00000224830|ENSMUST00000224092	NM_001302380|NM_025950|NM_001302382|NM_001377047|NM_001302443	CDC37L1		UP, ttest: 3.11528768750657e-05
166	167	Ppp1r1b	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000061718	ENSMUST00000133700|ENSMUST00000132443|ENSMUST00000152525|ENSMUST00000078694|ENSMUST00000150762|ENSMUST00000147415|ENSMUST00000137634	NM_144828|NM_001313970	PPP1R1B		UP, ttest: 3.14088762156439e-05
167	168	Tns3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020422	ENSMUST00000020695|ENSMUST00000239091|ENSMUST00000131941|ENSMUST00000239111|ENSMUST00000134823|ENSMUST00000129074	NM_001083587	TNS3		UP, ttest: 3.19496023032065e-05
168	169	Sap30	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000031609	ENSMUST00000034022	NM_021788	SAP30		UP, ttest: 3.24295975111043e-05
169	170	Nde1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022678	ENSMUST00000149232|ENSMUST00000023359|ENSMUST00000133249|ENSMUST00000156041|ENSMUST00000117958|ENSMUST00000127801|ENSMUST00000132316|ENSMUST00000115795	NM_001285503|NM_001114085|NM_001285504|NM_023317	NDE1		UP, ttest: 3.27857035191514e-05
170	171	Ihpk2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000032599	ENSMUST00000194875|ENSMUST00000193970|ENSMUST00000195580|ENSMUST00000193634|ENSMUST00000193055|ENSMUST00000192226|ENSMUST00000194782|ENSMUST00000192028|ENSMUST00000195514|ENSMUST00000085018|ENSMUST00000193560|ENSMUST00000192307	NM_029634|NM_001379601|NM_001379600|NM_001379602|NM_001379603	IP6K2		UP, ttest: 3.34449128593576e-05
171	172	Ccng1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020326	ENSMUST00000020576|ENSMUST00000151359	NM_009831	CCNG1		UP, ttest: 3.39714440744263e-05
172	173	Rin2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000001768	ENSMUST00000144661|ENSMUST00000149269|ENSMUST00000144278|ENSMUST00000110005|ENSMUST00000142847|ENSMUST00000094480|ENSMUST00000150449|ENSMUST00000145874|ENSMUST00000137180|ENSMUST00000147976|ENSMUST00000231581	NM_028724|NM_001406509|NM_001406508	RIN2		UP, ttest: 3.47223164733047e-05
173	174	P2rx5	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000005950	ENSMUST00000006104|ENSMUST00000135202|ENSMUST00000136894	NM_001376983|NM_001376982|NM_033321	P2RX5		UP, ttest: 3.506981962405331e-05
174	175	Gm129	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000038550	ENSMUST00000036418|ENSMUST00000161994|ENSMUST00000159739|ENSMUST00000161867|ENSMUST00000159863|ENSMUST00000161866	NM_001033302	CIART		UP, ttest: 3.5355319353607e-05
175	176	Chka	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024843	ENSMUST00000146463|ENSMUST00000025760|ENSMUST00000072055|ENSMUST00000125411|ENSMUST00000128694|ENSMUST00000153343|ENSMUST00000127544|ENSMUST00000125013|ENSMUST00000139655|ENSMUST00000154467|ENSMUST00000124219|ENSMUST00000148325|ENSMUST00000125859|ENSMUST00000125640	NM_001271496|NM_013490	CHKA		UP, ttest: 3.60762624761225e-05
176	177	LOC331139	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 3.986023148627981e-05
177	178	Txnip	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000038393	ENSMUST00000196871|ENSMUST00000128221|ENSMUST00000074519|ENSMUST00000151832|ENSMUST00000144639|ENSMUST00000049093	NM_001009935|NM_023719	TXNIP		UP, ttest: 4.003785164930491e-05
178	179	E430031D18Rik	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 4.089991118140621e-05
179	180	Ptplb	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000035376	ENSMUST00000231516|ENSMUST00000061156|ENSMUST00000231556	NM_023587	HACD2		UP, ttest: 4.09499774793305e-05
180	181	Als2cr13	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000041040	ENSMUST00000189790|ENSMUST00000151630|ENSMUST00000036540	NM_001037725	FAM117B		UP, ttest: 4.170124702656861e-05
181	182	Cebpb	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000056501	ENSMUST00000070642	NM_009883|NM_001287738|NM_001287739	CEBPB		UP, ttest: 4.181889529730161e-05
182	183	Smox	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000027333	ENSMUST00000183881|ENSMUST00000110182|ENSMUST00000151627|ENSMUST00000110188|ENSMUST00000183575|ENSMUST00000110189|ENSMUST00000110186|ENSMUST00000110181|ENSMUST00000129143|ENSMUST00000131698|ENSMUST00000110180|ENSMUST00000151143|ENSMUST00000028806|ENSMUST00000183947|ENSMUST00000149180|ENSMUST00000110183|ENSMUST00000110179	NM_001177837|NM_001177839|NM_001177836|NM_001177833|NM_145533|NM_001177834|NM_001177838|NM_001177835|NM_001177840	SMOX		UP, ttest: 4.2547818843233e-05
183	184	Nt5dc2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000071547	ENSMUST00000226588|ENSMUST00000227794|ENSMUST00000227096|ENSMUST00000226975|ENSMUST00000090212|ENSMUST00000227690	NM_001374087|NM_027289	NT5DC2		UP, ttest: 4.51055048698187e-05
184	185	LOC669001	1_astrocytes_dex_up	michor-cells-dex						UP, ttest: 4.58296343744747e-05
185	186	Camk2d	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000053819	ENSMUST00000167985|ENSMUST00000106402|ENSMUST00000147043|ENSMUST00000169051|ENSMUST00000167417|ENSMUST00000066452|ENSMUST00000198487|ENSMUST00000106400|ENSMUST00000197660|ENSMUST00000171289|ENSMUST00000129293|ENSMUST00000143383|ENSMUST00000106401|ENSMUST00000171950|ENSMUST00000170149|ENSMUST00000199300|ENSMUST00000163226|ENSMUST00000200010|ENSMUST00000066466|ENSMUST00000149311|ENSMUST00000134466|ENSMUST00000106399|ENSMUST00000131869|ENSMUST00000198637|ENSMUST00000131156|ENSMUST00000145454|ENSMUST00000134987|ENSMUST00000200171	NM_001293663|NM_023813|NM_001025439|NM_001293665|NM_001346636|NM_001293664|NM_001346635|NM_001293666|NM_001025438			UP, ttest: 4.6129076350238e-05
186	187	Wasf2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000028868	ENSMUST00000136637|ENSMUST00000136132|ENSMUST00000138831|ENSMUST00000105912|ENSMUST00000123578|ENSMUST00000084241	NM_153423	WASF2		UP, ttest: 4.91901873281863e-05
187	188	Napepld	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000044968	ENSMUST00000115217|ENSMUST00000060899	NM_178728|NM_001359965|NM_001359964|NM_001359963	NAPEPLD		UP, ttest: 4.957582882440701e-05
188	189	Trp63	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022510	ENSMUST00000115307|ENSMUST00000115308|ENSMUST00000115304|ENSMUST00000115310|ENSMUST00000040231|ENSMUST00000115306|ENSMUST00000115305|ENSMUST00000065523	NM_001127261|NM_001127265|NM_001127264|NM_001127262|NM_001127259|NM_001127263|NM_001127260|NM_011641	TP63		UP, ttest: 4.984615432433151e-05
189	190	Stab1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000042286	ENSMUST00000161129|ENSMUST00000161631|ENSMUST00000162763|ENSMUST00000159480|ENSMUST00000159208|ENSMUST00000161464|ENSMUST00000162169|ENSMUST00000160024|ENSMUST00000159757|ENSMUST00000159249|ENSMUST00000159532|ENSMUST00000036618|ENSMUST00000160720	NM_138672	STAB1		UP, ttest: 5.15775886306316e-05
190	191	Kcnk1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000033998	ENSMUST00000212831|ENSMUST00000046765	NM_008430	KCNK1		UP, ttest: 5.160373103010281e-05
191	192	Rilpl1	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000029392	ENSMUST00000199125|ENSMUST00000199766|ENSMUST00000062153|ENSMUST00000200202	NM_021430	RILPL1		UP, ttest: 5.28934988590692e-05
192	193	Tmem204	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024168	ENSMUST00000153745|ENSMUST00000233505|ENSMUST00000024984|ENSMUST00000232699	NM_001001183	TMEM204		UP, ttest: 5.32258988513229e-05
193	194	Fgfr3	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000054252	ENSMUST00000169212|ENSMUST00000132724|ENSMUST00000067150|ENSMUST00000164207|ENSMUST00000181298|ENSMUST00000155002|ENSMUST00000114411|ENSMUST00000202138|ENSMUST00000202791|ENSMUST00000087820|ENSMUST00000202182|ENSMUST00000201295|ENSMUST00000201437|ENSMUST00000142860|ENSMUST00000171509|ENSMUST00000134610|ENSMUST00000152661	NM_001163215|NM_001359037|NM_001163217|NM_001359036|NM_001163216|NM_008010|NM_001205270	FGFR3		UP, ttest: 5.3249103915776e-05
194	195	Hr	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000022096	ENSMUST00000163060|ENSMUST00000161069|ENSMUST00000161468|ENSMUST00000022691|ENSMUST00000159959	NM_001379479|NM_021877	HR		UP, ttest: 5.56631502467937e-05
195	196	Slc10a6	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000029321	ENSMUST00000031263	NM_029415	SLC10A6		UP, ttest: 5.64501568996523e-05
196	197	Lims2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000024395	ENSMUST00000223753|ENSMUST00000225404|ENSMUST00000226112|ENSMUST00000224328|ENSMUST00000234678|ENSMUST00000225470|ENSMUST00000233994|ENSMUST00000225125|ENSMUST00000025254|ENSMUST00000224383|ENSMUST00000234549|ENSMUST00000225400	NM_001365015|NM_001379138|NM_001379137|NM_144862	LIMS2		UP, ttest: 5.70250105194792e-05
197	198	Rims2	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000037386	ENSMUST00000227243|ENSMUST00000227830|ENSMUST00000228839|ENSMUST00000228269|ENSMUST00000228867|ENSMUST00000227469|ENSMUST00000226410|ENSMUST00000228460|ENSMUST00000042917|ENSMUST00000226243|ENSMUST00000082054|ENSMUST00000227381	NM_001256383|NM_053271|NM_001256382|NM_001256384	RIMS2		UP, ttest: 5.72478149587736e-05
198	199	Lin7a	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000019906	ENSMUST00000105280|ENSMUST00000218031|ENSMUST00000020057	NM_001284329|NM_001033223|NM_001039354	LIN7A		UP, ttest: 5.83634466704711e-05
199	200	Rasgef1c	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000020374	ENSMUST00000109172|ENSMUST00000093142|ENSMUST00000093141|ENSMUST00000063444	NM_001347462|NM_029004	RASGEF1C		UP, ttest: 5.99360993167684e-05
200	201	Kcnk6	1_astrocytes_dex_up	michor-cells-dex	ENSMUSG00000046410	ENSMUST00000085818|ENSMUST00000208807	NM_001033525	KCNK6		UP, ttest: 6.059045176039441e-05
