Index	Gene_name	Gene_list_index	Gene_list_name	Ensembl_gene_id	Ensembl_transcript_id	RefSeq_mRNA_id	HGNC_symbol	Alias	Info
44	Gal3st1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000049721	ENSMUST00000063004|ENSMUST00000078757|ENSMUST00000109981	NM_001382291|NM_001382290|NM_001177691|NM_016922|NM_001177703	GAL3ST1		DOWN, ttest: 8.3342685452468e-06
45	Zfp710	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000048897	ENSMUST00000166250|ENSMUST00000164056|ENSMUST00000049680|ENSMUST00000206104|ENSMUST00000206039	NM_175433|NM_001145999|NM_001146000			DOWN, ttest: 9.91872207632873e-06
46	5430427O19Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000025058	ENSMUST00000113976	NM_001163539	TASL		DOWN, ttest: 1.01993838581054e-05
47	Fjx1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000075012	ENSMUST00000099678	NM_010218	FJX1		DOWN, ttest: 1.02037418707415e-05
48	Ccr5	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000079227	ENSMUST00000171579|ENSMUST00000171499|ENSMUST00000169553|ENSMUST00000168179|ENSMUST00000097855|ENSMUST00000111442	NM_009917	CCR2		DOWN, ttest: 1.15534926909852e-05
49	A930008A22Rik	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000040111	ENSMUST00000129940|ENSMUST00000165104|ENSMUST00000148170|ENSMUST00000137454|ENSMUST00000121357|ENSMUST00000119373|ENSMUST00000211853|ENSMUST00000155265|ENSMUST00000118159|ENSMUST00000216821|ENSMUST00000239052|ENSMUST00000150977|ENSMUST00000153029|ENSMUST00000045682|ENSMUST00000137189	NM_001357617|NM_001357618|NM_001357621|NM_001357619|NM_001357622|NM_001357623|NM_001357620|NM_172768	GRAMD1B		DOWN, ttest: 1.22733554089823e-05
50	BC046404	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000046417	ENSMUST00000128705|ENSMUST00000057194|ENSMUST00000143262	NM_001357955|NM_198861	LRRC75A		DOWN, ttest: 1.43004706370604e-05
51	Pdlim4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000020388	ENSMUST00000151948|ENSMUST00000127271|ENSMUST00000093109|ENSMUST00000144477|ENSMUST00000018755	NM_019417	PDLIM4		DOWN, ttest: 1.51557850466786e-05
52	Il1b	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027398	ENSMUST00000141979|ENSMUST00000028881|ENSMUST00000155994	NM_008361	IL1B		DOWN, ttest: 1.54102451096412e-05
53	LOC100048721	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 1.57392043800264e-05
54	Sema6d	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000027200	ENSMUST00000132088|ENSMUST00000103241|ENSMUST00000051419|ENSMUST00000076335|ENSMUST00000103239|ENSMUST00000103240|ENSMUST00000151199|ENSMUST00000103238|ENSMUST00000137172|ENSMUST00000077847|ENSMUST00000078621	NM_172537|NM_199241|NM_001407285|NM_199240|NM_001291000|NM_199238|NM_199239|NM_001290997	SEMA6D		DOWN, ttest: 1.58780241957541e-05
55	Cx3cr1	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000052336	ENSMUST00000064165|ENSMUST00000215016|ENSMUST00000177637	NM_009987	CX3CR1		DOWN, ttest: 1.64744612312085e-05
56	Wdr21	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000021222	ENSMUST00000222833|ENSMUST00000021645|ENSMUST00000222607|ENSMUST00000222502|ENSMUST00000222725|ENSMUST00000221769|ENSMUST00000223291|ENSMUST00000221944	NM_001165256|NM_030246	DCAF4		DOWN, ttest: 1.78728915661575e-05
57	Nme4	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000024177	ENSMUST00000235157|ENSMUST00000025007|ENSMUST00000236547|ENSMUST00000150280|ENSMUST00000236112|ENSMUST00000236967|ENSMUST00000236128	NM_019731	NME4		DOWN, ttest: 2.05295303851661e-05
58	Igh-6	2_astrocytes_dex_down	michor-cells-dex						DOWN, ttest: 2.08038111088678e-05
59	Fam13c	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000043259	ENSMUST00000105436|ENSMUST00000219514|ENSMUST00000173042|ENSMUST00000218542|ENSMUST00000220159|ENSMUST00000062883|ENSMUST00000220442	NM_001143777|NM_001143776|NM_024244|NM_001359551	FAM13C		DOWN, ttest: 2.09217064529675e-05
60	Syn2	2_astrocytes_dex_down	michor-cells-dex	ENSMUSG00000009394	ENSMUST00000203450|ENSMUST00000203707|ENSMUST00000203768|ENSMUST00000204617|ENSMUST00000009538|ENSMUST00000204726|ENSMUST00000169345	NM_001326560|NM_013681|NM_001111015	SYN2		DOWN, ttest: 2.10271113540127e-05
