	Probe.Set	Identifier	FirstOfLocuslink	FirstOfName	FirstOfFunction	Description	ANOVA.TREAT	ANOVA.CELL	ANOVA.INT	FDR_ANOVA.TREAT	FDR_ANOVA.CELL	FDR_ANOVA.INT	TTEST.ASTRO.DEX	TTEST.ASTRO.ALD	TTEST.ASTRO.DHT	TTEST.ASTRO.PRG	TTEST.ASTRO.ESR	TTEST.NEURO.DEX	TTEST.NEURO.ALD	TTEST.NEURO.DHT	TTEST.NEURO.PRG	TTEST.NEURO.ESR	FDR_TTEST.ASTRO.DEX	FDR_TTEST.ASTRO.ALD	FDR_TTEST.ASTRO.DHT	FDR_TTEST.ASTRO.PRG	FDR_TTEST.ASTRO.ESR	FDR_TTEST.NEURO.DEX	FDR_TTEST.NEURO.ALD	FDR_TTEST.NEURO.DHT	FDR_TTEST.NEURO.PRG	FDR_TTEST.NEURO.ESR	FOLD.ASTRO.DEX	FOLD.ASTRO.ALD	FOLD.ASTRO.DHT	FOLD.ASTRO.PRG	FOLD.ASTRO.ESR	FOLD.NEURO.DEX	FOLD.NEURO.ALD	FOLD.NEURO.DHT	FOLD.NEURO.PRG	FOLD.NEURO.ESR
541	ILMN_3138732	NM_008733.3	NP_032759.3	Nrap			3.09103350256732e-06	1.0251943475451099e-23	0.005484156016448111	0.00026333096115782904	6.99531901929182e-23	0.228336717676713	0.0016940740245128501	0.00210538799846491	0.054398704049146006	0.0304368553740107	0.7948906324772471	0.0648473573845858	0.0514101306571077	0.223561898054349	0.5955053553424481	0.452399529970664	0.0669947095356841	0.271646893854041	0.8845768646342911	0.845270986155032	0.9907464230097861	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	0.651575520833333	0.49021354166666803	0.24386458333333402	0.275489583333334	0.0338776041666673	0.144239583333333	0.0907291666666676	0.13736718750000101	0.0531614583333333	-0.047861979166666097
542	ILMN_2437513	XM_001479238.1	XP_001479288.1	LOC100047963			3.19274167021305e-06	1.90992799948948e-35	0.00615765582031994	0.000271494758527472	3.90562513057695e-34	0.24896987727447703	0.000183712633041992	0.0018990192988617102	0.6991900615954011	0.15418001793832	0.703084110011964	0.18485813123917103	0.730346909007843	0.6135057742861081	0.702181986603242	0.37410314743538403	0.0161884486986277	0.266240705014669	0.9768273546789571	0.8866503906927521	0.9865573562930171	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	-0.706156250000001	-0.30883593750000105	-0.0488619791666682	-0.251906250000001	-0.0252291666666675	-0.125726562500001	-0.0298125000000002	0.0372942708333319	-0.0358125000000005	0.08373437499999879
543	ILMN_1217075	XM_125817.6	XP_125817.5	Bbs10			3.3463273399383e-06	2.61965013399593e-17	0.00600251628981869	0.000284031835651307	1.19904565114124e-16	0.24455508171300502	0.0028562834423629	0.44197589961311806	0.5915057505120971	0.9652915680128331	0.0485159687802771	0.9995131063203611	0.0758234361568377	0.0817193129254747	0.41659493203277204	0.0249080537422002	0.0910186553952137	0.891885847088779	0.965995510561892	0.9970863789449381	0.9148426913910791	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	-0.36594270833333403	-0.063229166666666	0.0464583333333337	0.0035338541666671804	0.17799739583333402	5.989583333310121e-05	0.121005208333333	0.191705729166666	0.0573307291666652	0.14257031249999802
544	ILMN_2654074	NM_001013370.1	NP_001013388.1	Sesn1			3.37937673548757e-06	5.7943222408712905e-27	0.17175982532319	0.000286310718136519	5.0922541901406797e-26	0.9999978870935041	7.79390005183082e-06	0.0006501710095579321	0.9052586684893831	0.0442750414748289	0.13569957130833202	0.0921556821429765	0.9517816520230631	0.9979910360493051	0.869456452441086	0.8490248462535921	0.0022633681823473997	0.171548549687588	0.9923023786404921	0.8524255595680821	0.934626371936716	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	0.8911536458333331	0.422820312500001	0.0143567708333325	0.194875	0.11729166666666702	0.43401822916666805	0.0106276041666664	-0.000494791666666217	0.0355052083333334	0.0323046874999999
545	ILMN_2613349	XM_126120.5		Aldoc			3.42783665365818e-06	4.5685636076772807e-17	0.23737064600139	0.000289884486531159	2.06391951540855e-16	0.9999978870935041	0.00464296890499849	0.6770115492804291	0.182457992154011	0.9562539494003951	0.6854589951263931	0.07475461780357019	0.7447367181169761	0.309877907926702	0.416122301438104	0.40489946652066905	0.11918175822096301	0.952866365884621	0.9132682544287011	0.997043465272979	0.9860111541866781	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	0.752067708333334	0.0673385416666665	-0.22640625	-0.008794270833334391	-0.0547005208333324	0.29847135416666704	-0.0477265625000003	-0.137013020833333	-0.13646354166666602	-0.103403645833334
546	ILMN_1258732	NM_021351.1	NP_067326.1	Cryba4			3.49841014815992e-06	4.99673392065963e-40	7.65727006412822e-05	0.000295311865047781	1.9569057850088e-38	0.00742787369624068	9.31949902268576e-05	0.0011595930921766702	0.0063309608536770996	0.0007379518499111491	0.12258176950897301	0.272889885796171	0.181799922813974	0.322240531320844	0.0331359995741326	0.159585238529059	0.0108120238159169	0.21144349975627302	0.8456116380494431	0.487640296169116	0.934626371936716	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	0.7008125	0.6981484374999991	0.365856770833334	0.559401041666666	0.22138541666666503	0.0586874999999987	0.0825885416666665	0.144098958333333	0.09909895833333329	0.0502734374999996
547	ILMN_1221195	NM_027029.1	NP_081305.1	Spata3			3.5722960352874802e-06	8.511864170133701e-09	0.000694382459095608	0.00030099853491489804	2.49192756905753e-08	0.0478379972879628	0.0372656497688073	0.7286207416024261	0.0898699787697102	0.0471353561178875	0.168765935565679	0.10128109565085	0.476735098570404	0.0841586512161637	0.840463750182587	0.9283031534894061	0.353049151621785	0.9618658957385461	0.8891786276787611	0.8530565717830411	0.9421553780743571	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	-0.269234375000001	-0.0286744791666669	0.16142447916666702	0.243786458333333	0.159658854166666	-0.13866145833333302	-0.0580156249999995	-0.142289062499999	-0.0128177083333334	0.00563802083333353
548	ILMN_3122383	NM_001025613.1	NP_001020784.1	Otud7b			3.69865551418372e-06	5.98930511599807e-29	0.000184552207685767	0.000311077813682912	6.26104085184729e-28	0.0156933952811835	0.000556362828083012	0.0211248689406126	0.39467472737372805	0.46948034520736803	0.900597343314057	0.019632770416573398	0.7042103870060621	0.798441334482572	0.7209748185535191	0.0799501051329897	0.0337949217224863	0.52701337525366	0.9448896273058931	0.9394404170815731	0.9949544849407541	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	0.689250000000001	0.271888020833334	-0.0961979166666662	0.0775781250000005	0.0116796875000009	0.11195052083333301	0.0545026041666663	0.0205286458333331	0.047515625000000006	0.07635156250000019
549	ILMN_2755981	NM_001081225.1	NP_001074694.1	Fam178a			3.7860217711309497e-06	1.37248166944494e-37	2.6894272465493197e-07	0.000317846853200365	3.64421901121049e-36	5.39920059487688e-05	0.0014395625522837401	0.0216258486221112	0.9264765701184231	0.21329217557376	0.547555506081655	0.390997386272094	0.518835397147648	0.9578915671313141	0.509094293829751	0.9569354312918611	0.0612010958051863	0.529776345872579	0.993257200709689	0.9002130936910071	0.975594953524301	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	0.790955729166667	0.395247395833334	-0.0136666666666656	0.16987239583333402	-0.0829531249999995	-0.076684895833333	0.0555885416666655	0.0066015625000002106	-0.0484140624999991	0.00454947916666626
550	ILMN_2930602	NM_007873.2	NP_031899.2	Doc2b			3.879769172529259e-06	1.99030271260958e-47	0.00463712430080269	0.000325126064922625	3.52108189471397e-45	0.204113038575084	0.0015744936918175702	0.39677153383809305	0.34915897980756	0.8498464927851581	0.8894664560500061	0.144564506842104	0.304719442888344	0.5237806964581241	0.9900233888263711	0.7213530412477771	0.06456542782059	0.8763287478924761	0.93635071462237	0.9865324169360061	0.9948439020384391	0.9999864087421151	0.9999126459558031	0.9999854347175571	0.9997888094014671	0.9999302920801281	0.42409895833333305	-0.0751718750000006	-0.0754192708333337	-0.0136015625000008	-0.0096458333333338	0.15876562500000102	0.10421614583333201	0.0399713541666671	-0.000945312499998963	0.0224114583333339
